frame_index,time_sec,class_id,class_name,confidence,xmin,ymin,xmax,ymax,preprocess_ms,inference_ms,postprocess_ms,end_to_end_fps
201,10.092,1,mouse,0.921193,161.61,246.37,449.30,474.12,2.750,25.904,3.205,20.500
202,10.132,1,mouse,0.955283,187.49,257.65,475.82,472.97,2.500,25.728,2.912,20.837
203,10.192,1,mouse,0.948479,190.04,260.28,480.50,474.36,2.516,25.486,3.204,20.498
204,10.233,1,mouse,0.974356,192.18,285.56,479.94,474.43,2.533,25.528,3.014,20.806
205,10.289,1,mouse,0.913597,216.68,304.24,499.88,473.07,2.509,25.567,3.496,20.444
205,10.289,1,mouse,0.531942,0.45,4.84,53.68,430.70,2.509,25.567,3.496,20.444
206,10.330,1,mouse,0.961474,226.91,341.29,525.52,475.55,2.508,25.547,3.275,20.933
206,10.330,1,mouse,0.833030,0.00,29.75,64.43,480.00,2.508,25.547,3.275,20.933
206,10.330,1,mouse,0.414362,0.37,6.72,61.01,373.35,2.508,25.547,3.275,20.933
206,10.330,1,mouse,0.336460,261.74,2.01,421.00,81.08,2.508,25.547,3.275,20.933
207,10.395,1,mouse,0.943029,304.66,18.43,456.70,125.53,2.543,25.554,3.526,20.383
207,10.395,1,mouse,0.885803,0.00,0.00,108.24,476.18,2.543,25.554,3.526,20.383
207,10.395,1,mouse,0.849662,265.18,365.46,564.55,476.16,2.543,25.554,3.526,20.383
208,10.460,1,mouse,0.972919,312.37,60.04,473.69,166.40,2.550,26.692,3.448,19.891
208,10.460,1,mouse,0.940709,0.00,129.79,118.15,477.44,2.550,26.692,3.448,19.891
209,10.502,1,mouse,0.805490,0.11,0.00,157.02,470.99,2.577,25.556,3.236,20.313
209,10.502,1,mouse,0.431128,353.73,426.18,564.69,477.86,2.577,25.556,3.236,20.313
